City,Date,PM2.5,PM10,NO2,NOx,NH3,O3,AQI,AQI_Bucket
Ahmedabad,2015-01-01,67.45,118.13,18.22,17.15,23.48,133.36,166.46,Moderate
Ahmedabad,2015-01-02,67.45,118.13,15.69,16.46,23.48,34.06,166.46,Moderate
Ahmedabad,2015-01-03,67.45,118.13,19.3,29.7,23.48,30.7,166.46,Moderate
Ahmedabad,2015-01-04,67.45,118.13,18.48,17.97,23.48,36.08,166.46,Moderate
Ahmedabad,2015-01-05,67.45,118.13,21.42,37.76,23.48,39.31,166.46,Moderate
Ahmedabad,2015-01-06,67.45,118.13,38.48,81.5,23.48,46.51,166.46,Moderate
Ahmedabad,2015-01-07,67.45,118.13,40.62,130.77,23.48,33.47,166.46,Moderate
Ahmedabad,2015-01-08,67.45,118.13,36.74,96.75,23.48,31.89,166.46,Moderate
Ahmedabad,2015-01-09,67.45,118.13,31,48,23.48,25.75,166.46,Moderate
Ahmedabad,2015-01-10,67.45,118.13,7.04,0,23.48,4.55,166.46,Moderate
Ahmedabad,2015-01-11,67.45,118.13,55.8,24.53,23.48,6.79,166.46,Moderate
Ahmedabad,2015-01-12,67.45,118.13,40.67,90.24,23.48,45.89,166.46,Moderate
Ahmedabad,2015-01-13,67.45,118.13,44.2,87.09,23.48,35.16,166.46,Moderate
Ahmedabad,2015-01-14,67.45,118.13,27.86,33.05,23.48,20.96,166.46,Moderate
Ahmedabad,2015-01-15,67.45,118.13,16.96,16.6,23.48,47.63,166.46,Moderate
Ahmedabad,2015-01-16,67.45,118.13,21.72,22.86,23.48,46.03,166.46,Moderate
Ahmedabad,2015-01-17,67.45,118.13,24.73,34.75,23.48,52.24,166.46,Moderate
Ahmedabad,2015-01-18,67.45,118.13,25.77,29.57,23.48,53.49,166.46,Moderate
Ahmedabad,2015-01-19,67.45,118.13,26.88,27.45,23.48,49.48,166.46,Moderate
Ahmedabad,2015-01-20,67.45,118.13,26.8,32.4,23.48,56.37,166.46,Moderate
Ahmedabad,2015-01-21,67.45,118.13,33.56,39.28,23.48,48.75,166.46,Moderate
Ahmedabad,2015-01-22,67.45,118.13,17.51,22.33,23.48,42.22,166.46,Moderate
Ahmedabad,2015-01-23,67.45,118.13,27.96,47.79,23.48,32.92,166.46,Moderate
Ahmedabad,2015-01-24,67.45,118.13,20.39,21.4,23.48,32.49,166.46,Moderate
Ahmedabad,2015-01-25,67.45,118.13,20.43,20.19,23.48,39.26,166.46,Moderate
Ahmedabad,2015-01-26,67.45,118.13,21.16,21.81,23.48,39.83,166.46,Moderate
Ahmedabad,2015-01-27,67.45,118.13,21.7,23.26,23.48,41.1,166.46,Moderate
Ahmedabad,2015-01-28,73.24,118.13,21.11,25.84,23.48,62.42,166.46,Moderate
